Ticker,Quarter & Year,Trading Volume 7 Day Average Prior to Call Date,Gross Margin ,Revenue (E8),Release Date,Stock Price on Release Date ,Call Date,Stock Price on Call Date,Stock Price Delta Between Dates,EPS Basic & Diluted,Revenue Delta,Gross Margin Delta,Trading Volume Delta,Beta Value at Call Date,"Rating Score (avg. - ROE, DCF, ROA)",Market Cap,Common Shares Outstanding at Call Date,VX,Polarity Mean,Postive/Negative + Neutral,Strong Polarity Count (>=0.8),Subjectivity ,Weak Polarity Count (>=-0.2)
XOM,2015 Q3,"12,473,000",0.1997,673.44,9/30/2015,74.26,10/30/2015,82.74,0.1142,1.01,-0.09,0.0000,-0.1200,0.9171,4,3.12E+11,3765125695,sentiment,0.06903,0.4470,0,0.3930,3
WWW,2015 Q3,"4,654,890",0.3925,6.789,9/30/2015,21.63,10/20/2015,19.65,-0.0915,0.45,1.45,0.0000,0.6400,0.8619,3.33,2192132000,111558880.4,sentiment,0.10557,0.8090,2,0.4010,2
TSLA,2015 Q4,"45,735,416",0.2281,10.21438,12/31/2015,48,2/11/2016,30.94,-0.3554,-2.46,0.09,-0.1100,0.7200,1.248,3,5.19E+11,16780597931,sentiment,0.1132,0.7640,0,0.4130,5
CAKE,2015 Q4,"1,093,110",0.1977,5.26841,12/31/2015,46.1,2/17/2016,49.84,0.0811,0.54,0.00,0.0000,-0.1700,0.4268,3,2465064000,49459550.56,sentiment,0.1037,0.9270,0,0.3860,1
XOM,2015 Q4,"18,106,000",0.2140,598.07,12/31/2015,77.94,2/2/2016,74.59,-0.0430,0.67,-0.11,0.0700,0.4500,0.8596,3,3.26E+11,4369338383,sentiment,0.0502,0.4340,0,0.4090,8
WWW,2015 Q4,"1,114,577",0.3906,13.813,12/31/2015,16.7,2/24/2016,17.5,0.0479,-0.31,1.03,0.0000,-0.7600,0.8085,3.33,1610844000,92048228.57,sentiment,0.1047,0.7690,0,0.4240,3
TSLA,2016 Q1,"27,894,636",0.2151,11.47048,3/31/2016,45.94,5/5/2016,42.3,-0.0792,-2.13,0.12,-0.0600,-0.3900,1.352,3,5.17E+11,12213778723,sentiment,0.0942,0.5830,1,0.4600,1
CAKE,2016 Q1,"1,356,159",0.1975,5.53693,3/31/2016,53.04,4/28/2016,51.2,-0.0347,0.68,0.05,0.0000,0.2400,0.4684,3,2560000000,50000000,sentiment,0.117,1.0950,0,0.3890,2
XOM,2016 Q1,"9,565,000",0.2120,487.07,3/31/2016,83.61,4/29/2016,88.4,0.0573,0.43,-0.19,-0.0100,-0.4700,0.8376,3,3.49E+11,3950667647,sentiment,0.0787,0.7160,0,0.4200,1
WWW,2016 Q1,"1,788,102",0.3863,5.776,3/31/2016,18.42,5/3/2016,19.1,0.0369,0.18,-0.58,-0.0100,0.6000,0.7295,3.33,1772004000,92775078.53,sentiment,0.1331,1.2800,0,0.4170,1
TSLA,2016 Q2,"17,326,943",0.2139,12.70017,6/30/2016,42.45,8/4/2016,46.12,0.0865,-2.09,0.11,-0.0100,-0.3800,1.277,3.33,5.79E+11,12563454250,sentiment,0.0436,0.4440,0,0.3720,4
CAKE,2016 Q2,"765,675",0.1970,5.58862,6/30/2016,48.15,7/28/2016,52.19,0.0839,0.78,0.01,0.0000,-0.4400,0.4725,3,2588624000,49600000,sentiment,0.1425,1.2580,0,0.4070,2
XOM,2016 Q2,"11,037,000",0.2081,-100.47,6/30/2016,93.74,7/29/2016,88.95,-0.0511,-3.01,-1.21,-0.0200,0.1500,0.7946,3,3.92E+11,4402987296,sentiment,0.05273,0.4800,1,0.4180,1
WWW,2016 Q2,"2,808,560",0.3853,5.837,6/30/2016,20.33,7/26/2016,24.33,0.1968,0.24,0.01,0.0000,0.5700,0.7797,3.33,1952752000,80261076.86,sentiment,0.1064,0.8470,0,0.3900,3
TSLA,2016 Q3,"27,557,034",0.2333,22.98436,9/30/2016,40.8,10/27/2016,40.8,0.0000,-2.065,0.45,0.0900,0.5900,1.322,3.33,6.17E+11,15132123529,sentiment,0.1232,0.7470,1,0.4580,7
CAKE,2016 Q3,"1,165,469",0.1982,6.94736,9/30/2016,50.06,10/27/2016,52,0.0388,1.15,0.20,0.0100,0.5200,0.1469,3,2558400000,49200000,sentiment,0.0842,0.4930,1,0.3650,2
